time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
2022-07-06 11:55:47,LAX-MUC-08/19/2022-08/23/2022,LAX,MUC,08/19/2022,08/23/2022,1918.00,08-19-2022 09:13:00,1042,2,08-23-2022 09:15:00,987,1
2022-07-06 11:56:52,LAX-MUC-08/26/2022-08/30/2022,LAX,MUC,08/26/2022,08/30/2022,1904.00,08-26-2022 07:30:00,870,1,08-30-2022 09:15:00,987,1
2022-07-06 11:57:58,LAX-MUC-09/02/2022-09/06/2022,LAX,MUC,09/02/2022,09/06/2022,1904.00,09-02-2022 07:30:00,870,1,09-06-2022 09:15:00,987,1
2022-07-06 11:59:04,LAX-MUC-09/09/2022-09/13/2022,LAX,MUC,09/09/2022,09/13/2022,1699.00,09-09-2022 07:27:00,873,1,09-13-2022 09:15:00,985,1
2022-07-06 12:00:15,LAX-MUC-09/16/2022-09/20/2022,LAX,MUC,09/16/2022,09/20/2022,1544.00,09-16-2022 07:27:00,873,1,09-20-2022 09:15:00,985,1
2022-07-06 12:01:23,LAX-MUC-09/23/2022-09/27/2022,LAX,MUC,09/23/2022,09/27/2022,1544.00,09-23-2022 07:27:00,873,1,09-27-2022 09:15:00,985,1
2022-07-06 12:02:31,LAX-MUC-09/30/2022-10/04/2022,LAX,MUC,09/30/2022,10/04/2022,1544.00,09-30-2022 07:27:00,873,1,10-04-2022 09:15:00,985,1
2022-07-06 12:03:45,LAX-MUC-10/07/2022-10/11/2022,LAX,MUC,10/07/2022,10/11/2022,1544.00,10-07-2022 07:20:00,880,1,10-11-2022 09:15:00,1001,1
2022-07-06 12:04:49,LAX-MUC-10/14/2022-10/18/2022,LAX,MUC,10/14/2022,10/18/2022,1544.00,10-14-2022 07:20:00,880,1,10-18-2022 09:15:00,1001,1
2022-07-06 12:05:55,LAX-MUC-10/21/2022-10/25/2022,LAX,MUC,10/21/2022,10/25/2022,1544.00,10-21-2022 07:20:00,880,1,10-25-2022 09:15:00,1001,1
2022-07-06 12:07:05,LAX-MUC-10/28/2022-11/01/2022,LAX,MUC,10/28/2022,11/01/2022,1344.00,10-28-2022 07:20:00,880,1,11-01-2022 09:30:00,1045,1
2022-07-06 12:08:13,LAX-MUC-11/04/2022-11/08/2022,LAX,MUC,11/04/2022,11/08/2022,1344.00,11-04-2022 08:10:00,860,1,11-08-2022 09:30:00,1105,1
2022-07-06 12:09:22,LAX-MUC-11/11/2022-11/15/2022,LAX,MUC,11/11/2022,11/15/2022,1504.00,11-11-2022 06:00:00,930,1,11-15-2022 09:30:00,1285,2
2022-07-06 12:10:34,LAX-MUC-11/18/2022-11/22/2022,LAX,MUC,11/18/2022,11/22/2022,1444.00,11-18-2022 06:00:00,930,1,11-22-2022 09:30:00,1105,1
2022-07-06 12:11:34,LAX-MUC-11/25/2022-11/29/2022,LAX,MUC,11/25/2022,11/29/2022,1344.00,11-25-2022 06:00:00,930,1,11-29-2022 09:30:00,1105,1
2022-07-06 12:12:40,LAX-MUC-12/02/2022-12/06/2022,LAX,MUC,12/02/2022,12/06/2022,1344.00,12-02-2022 06:00:00,930,1,12-06-2022 09:30:00,1105,1
2022-07-06 12:13:53,LAX-MUC-12/09/2022-12/13/2022,LAX,MUC,12/09/2022,12/13/2022,1344.00,12-09-2022 06:00:00,930,1,12-13-2022 09:30:00,1105,1
2022-07-06 12:14:57,LAX-MUC-12/16/2022-12/20/2022,LAX,MUC,12/16/2022,12/20/2022,1599.00,12-16-2022 06:00:00,930,1,12-20-2022 09:30:00,1190,2
2022-07-06 12:16:06,LAX-MUC-12/23/2022-12/27/2022,LAX,MUC,12/23/2022,12/27/2022,1817.00,12-23-2022 06:00:00,930,1,12-27-2022 07:40:00,870,1
2022-07-06 12:17:13,LAX-MUC-12/30/2022-01/03/2023,LAX,MUC,12/30/2022,01/03/2023,1724.00,12-30-2022 06:00:00,930,1,01-03-2023 09:30:00,1105,1
2022-07-06 12:18:19,LAX-MUC-01/06/2023-01/10/2023,LAX,MUC,01/06/2023,01/10/2023,1344.00,01-06-2023 06:00:00,930,1,01-10-2023 09:30:00,1105,1
2022-07-06 12:20:28,BOS-SNA-07/15/2022-07/24/2022,BOS,SNA,07/15/2022,07/24/2022,867.00,07-15-2022 05:30:00,486,1,07-24-2022 07:53:00,780,1
2022-07-06 12:21:31,BOS-SNA-07/22/2022-07/31/2022,BOS,SNA,07/22/2022,07/31/2022,776.00,07-22-2022 05:30:00,486,1,07-31-2022 13:11:00,462,1
2022-07-06 12:22:32,BOS-SNA-07/29/2022-08/07/2022,BOS,SNA,07/29/2022,08/07/2022,864.00,07-29-2022 06:44:00,695,1,08-07-2022 16:44:00,610,1
2022-07-06 12:23:33,BOS-SNA-08/05/2022-08/14/2022,BOS,SNA,08/05/2022,08/14/2022,833.00,08-05-2022 06:15:00,483,1,08-14-2022 13:06:00,828,1
2022-07-06 12:24:34,BOS-SNA-08/12/2022-08/21/2022,BOS,SNA,08/12/2022,08/21/2022,774.00,08-12-2022 05:30:00,486,1,08-21-2022 16:44:00,603,1
2022-07-06 12:25:35,BOS-SNA-08/19/2022-08/28/2022,BOS,SNA,08/19/2022,08/28/2022,709.00,08-19-2022 06:40:00,492,1,08-28-2022 07:52:00,587,1
2022-07-06 12:26:37,BOS-SNA-08/26/2022-09/04/2022,BOS,SNA,08/26/2022,09/04/2022,602.00,08-26-2022 06:40:00,492,1,09-04-2022 09:25:00,485,1
2022-07-06 12:28:30,BOS-SNA-09/09/2022-09/18/2022,BOS,SNA,09/09/2022,09/18/2022,569.00,09-09-2022 05:30:00,496,1,09-18-2022 08:55:00,600,1
